Career Interest,Frequency,ISCO-08,ISCO Title,Mapping Confidence,Mapping Basis,Mapping Source URL,ILO GenAI Exposure Category,Exposure Ordinal (Analytical Recode),ILO Exposure Source URL
Backend Development,46,2512,Software developers,High,Direct occupational-function match,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Frontend Development,41,2513,Web and multimedia developers,High,Direct web development match,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 4,5,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Product (UX/UI) Design,15,2166,Graphic and multimedia designers,Medium,Digital interface design aligned to graphic and multimedia design,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Business Analysis,14,2421,Management and organization analysts,High,Generic business analysis aligned to management and organization analysis,https://www.wikidata.org/wiki/Q1017553,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Data Analysis,9,2511,Systems analysts,Medium,ESCO-aligned modern title; data analyst grouped under systems analysts,https://rolefate.com/occupation/data-analyst/GB?lang=en,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Full-stack Development,7,2513,Web and multimedia developers,High,Web development covering front-end and back-end web stack,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 4,5,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Social Media Management,7,2431,Advertising and marketing professionals,Medium,Marketing/advertising professional pathway; managerial scope not established,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Business Analyst,6,2421,Management and organization analysts,High,Generic business analyst aligned to management and organization analysts,https://www.wikidata.org/wiki/Q1017553,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Data Analyst,5,2511,Systems analysts,Medium,ESCO-aligned modern title; data analyst grouped under systems analysts,https://rolefate.com/occupation/data-analyst/GB?lang=en,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Cybersecurity Analysis,4,2529,Database and network professionals not elsewhere classified,High,ICT security work aligned to database/network professionals n.e.c.,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Project Management,4,2422,Policy administration professionals,Medium,National ISCO implementation maps generic project manager to policy administration professionals,https://www.profesijuklasifikatorius.lt/en/profesija/242201?v=1,Minimal Exposure,1,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Web Developer,4,2513,Web and multimedia developers,High,Direct web developer match,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 4,5,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Frontend Developer,3,2513,Web and multimedia developers,High,Direct web developer match,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 4,5,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Graphic Design,3,2166,Graphic and multimedia designers,High,Direct graphic design match,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Software Engineering,3,2512,Software developers,High,Software engineering aligned to software developers,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Backend Developer,2,2512,Software developers,High,Software/backend development match,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
