Current Job Function,Frequency,ISCO-08,ISCO Title,Mapping Confidence,Mapping Status / Basis,Mapping Source URL,ILO GenAI Exposure Category,Exposure Ordinal (Analytical Recode),ILO Exposure Source URL
Technology & Digital,112,,,Unmapped,"Broad category, non-occupation label or insufficient specificity for defensible ISCO-08 unit-group coding",,,,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Student & Early Career,20,,,Unmapped,"Broad category, non-occupation label or insufficient specificity for defensible ISCO-08 unit-group coding",,,,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
"Business, Management & Consulting",17,,,Unmapped,"Broad category, non-occupation label or insufficient specificity for defensible ISCO-08 unit-group coding",,,,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Entrepreneurship & Business Ownership,6,1120,Managing directors and chief executives,Low,Broad owner-manager proxy; exact occupation depends enterprise activity,https://esco.ec.europa.eu/en/classification/occupation_main,Minimal Exposure,1,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Creative Industries & Media,4,,,Unmapped,"Broad category, non-occupation label or insufficient specificity for defensible ISCO-08 unit-group coding",,,,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Finance & Banking,3,,,Unmapped,"Broad category, non-occupation label or insufficient specificity for defensible ISCO-08 unit-group coding",,,,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
"Marketing, Sales & Communications",3,,,Unmapped,"Broad category, non-occupation label or insufficient specificity for defensible ISCO-08 unit-group coding",,,,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Full-Stack Developer,3,2513,Web and multimedia developers,High,Direct web/full-stack development match,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 4,5,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Business Analyst,3,2421,Management and organization analysts,High,Generic business analyst match,https://www.wikidata.org/wiki/Q1017553,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Student,2,,,Unmapped,"Broad category, non-occupation label or insufficient specificity for defensible ISCO-08 unit-group coding",,,,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Healthcare,2,,,Unmapped,"Broad category, non-occupation label or insufficient specificity for defensible ISCO-08 unit-group coding",,,,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Engineering & Construction,2,,,Unmapped,"Broad category, non-occupation label or insufficient specificity for defensible ISCO-08 unit-group coding",,,,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Retail & Customer Services,1,,,Unmapped,"Broad category, non-occupation label or insufficient specificity for defensible ISCO-08 unit-group coding",,,,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Tech Savvy,1,,,Unmapped,"Broad category, non-occupation label or insufficient specificity for defensible ISCO-08 unit-group coding",,,,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
others: Product design,1,2163,Product and garment designers,Medium,Product design match,https://esco.ec.europa.eu/en/classification/occupation_main,Minimal Exposure,1,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Software developer,1,2512,Software developers,High,Direct software developer match,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Business Operations Manager,1,1219,Business services and administration managers not elsewhere classified,High,Business operations management match,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Manufacturing & Logistics,1,,,Unmapped,"Broad category, non-occupation label or insufficient specificity for defensible ISCO-08 unit-group coding",,,,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Technical Writer,1,2642,Journalists,Medium,Technical writer mapping,https://bis.ams.or.at/bis/beruf/685-Technical%20editor%20%28TechnischeR%20RedakteurIn%29?language=en,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Skilled Trades & Technical Services,1,,,Unmapped,"Broad category, non-occupation label or insufficient specificity for defensible ISCO-08 unit-group coding",,,,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
others: Industry Creative Design/ Digital Media,1,2166,Graphic and multimedia designers,Low,Broad creative/digital media category proxied by graphic and multimedia designers,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Software developer and GIS analyst,1,2512,Software developers,Low,Mixed role; software development used as primary identifiable occupation,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Graphics designer,1,2166,Graphic and multimedia designers,High,Direct graphic design match,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Social Media Manager,1,2431,Advertising and marketing professionals,Medium,Marketing/advertising professional pathway,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Content Creator,1,2641,Authors and related writers,Low,Generic content creation proxy,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
tech tutor,1,,,Unmapped,"Broad category, non-occupation label or insufficient specificity for defensible ISCO-08 unit-group coding",,,,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Customer support,1,4225,Enquiry clerks,High,Customer support aligned to enquiry clerks,https://www.wikidata.org/wiki/Q5196476,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Product (UX/UI) Designer,1,2166,Graphic and multimedia designers,Medium,Digital interface design proxy,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 2,3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Backend Developer,1,2512,Software developers,High,Direct backend/software development match,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Business Operation Support,1,,,Unmapped,"Broad category, non-occupation label or insufficient specificity for defensible ISCO-08 unit-group coding",,,,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Unemployed,1,,,Unmapped,"Broad category, non-occupation label or insufficient specificity for defensible ISCO-08 unit-group coding",,,,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Social media manager,1,2431,Advertising and marketing professionals,Medium,Marketing/advertising professional pathway,https://esco.ec.europa.eu/en/classification/occupation_main,Exposed: Gradient 3,4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
others: Product Designing,1,2163,Product and garment designers,Medium,Product design match,https://esco.ec.europa.eu/en/classification/occupation_main,Minimal Exposure,1,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
Education & Research,1,,,Unmapped,"Broad category, non-occupation label or insufficient specificity for defensible ISCO-08 unit-group coding",,,,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
others: Telecommunications,1,,,Unmapped,"Broad category, non-occupation label or insufficient specificity for defensible ISCO-08 unit-group coding",,,,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
